Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
projet de loi autorisant la ratification de l'accord portant création de la Banque asiatique d'investissement dans les infrastructures;projet de loi;13/11/2015;http://www.senat.fr/dossier-legislatif/pjl15-483.html;promulgué;;;23/05/2016;2016-655;Affaires étrangères et coopération, Entreprises, Traités et conventions
projet de loi prorogeant l'application de la loi n° 55-385 du 3 avril 1955 relative à l'état d'urgence;projet de loi;04/05/2016;http://www.senat.fr/dossier-legislatif/pjl15-574.html;promulgué;;;20/05/2016;2016-629;Défense, Police et sécurité, Société
projet de loi ratifiant l'ordonnance n° 2015-1127 du 10 septembre 2015 portant réduction du nombre minimal d'actionnaires dans les sociétés anonymes non cotées;projet de loi;02/12/2015;http://www.senat.fr/dossier-legislatif/pjl15-222.html;promulgué;;;10/05/2016;2016-563;Économie et finances, fiscalité, Entreprises
proposition de loi renforçant la lutte contre le hooliganisme;proposition de loi;29/09/2015;http://www.senat.fr/dossier-legislatif/ppl15-373.html;promulgué;;;10/05/2016;2016-564;Police et sécurité, Sports
proposition de loi organique relative au statut des autorités administratives indépendantes créées par la Nouvelle-Calédonie;proposition de loi organique;30/06/2015;http://www.senat.fr/dossier-legislatif/ppl14-574.html;promulgué;;21/04/2016;25/04/2016;2016-507;Fonction publique, Outre-mer, Pouvoirs publics et Constitution
proposition de loi organique de modernisation des règles applicables à l'élection présidentielle;proposition de loi organique;05/11/2015;http://www.senat.fr/dossier-legislatif/ppl15-278.html;promulgué;;21/04/2016;25/04/2016;2016-506;Pouvoirs publics et Constitution
proposition de loi de modernisation des règles applicables à l'élection présidentielle;proposition de loi;10/11/2015;http://www.senat.fr/dossier-legislatif/ppl15-279.html;promulgué;;21/04/2016;25/04/2016;2016-508;Pouvoirs publics et Constitution
projet de loi relatif à la déontologie et aux droits et obligations des fonctionnaires;projet de loi;17/07/2013;http://www.senat.fr/dossier-legislatif/pjl15-041.html;promulgué;;;20/04/2016;2016-483;Collectivités territoriales, Fonction publique, Travail
projet de loi autorisant l'accession de la France au protocole sur le statut des quartiers généraux militaires internationaux créés en vertu du Traité de l'Atlantique Nord;projet de loi;04/01/2016;http://www.senat.fr/dossier-legislatif/pjl15-286.html;promulgué;;;20/04/2016;2016-482;Affaires étrangères et coopération, Défense, Traités et conventions
projet de loi relatif à l'information de l'administration par l'institution judiciaire et à la protection des mineurs;projet de loi;25/11/2015;http://www.senat.fr/dossier-legislatif/pjl15-242.html;promulgué;;;14/04/2016;2016-457;Famille, Fonction publique, Justice
proposition de loi renforçant la lutte contre le système prostitutionnel;proposition de loi;10/10/2013;http://www.senat.fr/dossier-legislatif/ppl13-207.html;promulgué;;;13/04/2016;2016-444;Police et sécurité, Société
projet de loi autorisant la ratification du traité entre la République française et la République tchèque sur la coopération dans le domaine de la protection civile, de la prévention et de la gestion des situations d'urgence;projet de loi;17/04/2013;http://www.senat.fr/dossier-legislatif/pjl12-516.html;promulgué;;;30/03/2016;2016-365;Affaires étrangères et coopération, Police et sécurité, Union européenne
projet de loi portant approbation du deuxième protocole d'amendement à l'accord relatif au groupe aérien européen;projet de loi;12/06/2013;http://www.senat.fr/dossier-legislatif/pjl12-656.html;promulgué;;;30/03/2016;2016-366;Traités et conventions, Transports, Union européenne
projet de loi sur l'exonération de droits d'enregistrement des acquisitions immobilières destinées à être utilisées par le CERN en tant que locaux officiels;projet de loi;02/07/2014;http://www.senat.fr/dossier-legislatif/pjl13-674.html;promulgué;;;30/03/2016;2016-367;Affaires étrangères et coopération, Recherche, sciences et techniques, Traités et conventions
projet de loi autorisant l'approbation de l'accord relatif aux mesures du ressort de l'Etat du port visant à prévenir, contrecarrer et éliminer la pêche illicite, non déclarée et non réglementée;projet de loi;03/09/2014;http://www.senat.fr/dossier-legislatif/pjl13-794.html;promulgué;;;30/03/2016;2016-368;Affaires étrangères et coopération, Agriculture et pêche
projet de loi autorisant la ratification de l'accord-cadre global de partenariat et de coopération entre l'Union européenne et ses Etats membres, d'une part, et la République socialiste du Viêt Nam, d'autre part;projet de loi;15/04/2015;http://www.senat.fr/dossier-legislatif/pjl14-414.html;promulgué;;;30/03/2016;2016-371;Affaires étrangères et coopération, Union européenne
projet de loi autorisant l'approbation de l'amendement à la convention sur l'accès à l'information, la participation du public au processus décisionnel et l'accès à la justice en matière d'environnement;projet de loi;03/06/2015;http://www.senat.fr/dossier-legislatif/pjl14-482.html;promulgué;;;30/03/2016;2016-369;Affaires étrangères et coopération, Environnement, Traités et conventions
projet de loi autorisant la ratification de l'accord-cadre de partenariat et de coopération entre l'Union européenne et ses États membres, d'une part, et la République des Philippines, d'autre part;projet de loi;24/06/2015;http://www.senat.fr/dossier-legislatif/pjl14-551.html;promulgué;;;30/03/2016;2016-370;Affaires étrangères et coopération, Traités et conventions
projet de loi autorisant la ratification du protocole relatif à la convention n° 29 de l'Organisation internationale du travail sur le travail forcé, 1930;projet de loi;15/07/2015;http://www.senat.fr/dossier-legislatif/pjl14-630.html;promulgué;;;30/03/2016;2016-372;Affaires étrangères et coopération, Traités et conventions, Travail
proposition de loi visant à permettre l'application aux élus locaux des dispositions relatives au droit individuel à la formation;proposition de loi;23/12/2015;http://www.senat.fr/dossier-legislatif/ppl15-284.html;promulgué;;;23/03/2016;2016-341;Collectivités territoriales, Pouvoirs publics et Constitution
projet de loi autorisant l'approbation de la convention d'entraide judiciaire en matière pénale entre le Gouvernement de la République française et le Gouvernement de la République du Pérou;projet de loi;06/11/2013;http://www.senat.fr/dossier-legislatif/pjl15-352.html;promulgué;;;22/03/2016;2016-338;Affaires étrangères et coopération, Justice
proposition de loi relative à la protection des forêts contre l'incendie dans les départements sensibles;proposition de loi;06/10/2015;http://www.senat.fr/dossier-legislatif/ppl15-010.html;promulgué;;;22/03/2016;2016-340;Collectivités territoriales, Environnement, Police et sécurité
