Titre;Type de dossier;Date initiale;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
projet de loi autorisant l'approbation du troisième protocole en date du 6 octobre 1995 annexé à l'accord général sur le commerce des services (ensemble les listes d'engagements dont la traduction est annexée à la présente loi);projet de loi;12/06/1996;http://www.senat.fr/dossier-legislatif/a95962879.html;promulgué;;;28/06/1996;96-575;PME, commerce et artisanat, Traités et conventions
projet de loi autorisant l'approbation de l'accord fiscal sous forme d'échange de lettres entre le gouvernement de la République française et le gouvernement de la République du Panama;projet de loi;11/01/1996;http://www.senat.fr/dossier-legislatif/s95960160.html;promulgué;;;26/06/1996;96-569;Économie et finances, fiscalité, Traités et conventions
proposition de loi améliorant le financement des associations concourant à l'action humanitaire en vue de leur permettre de participer plus efficacement à la lutte contre l'exclusion;proposition de loi;11/01/1996;http://www.senat.fr/dossier-legislatif/a95962476.html;promulgué;;;24/06/1996;96-559;
proposition de loi tendant à actualiser la loi locale de chasse régissant les départements du Bas-Rhin, du Haut-Rhin et de la Moselle;proposition de loi;15/12/1995;http://www.senat.fr/dossier-legislatif/s95960144.html;promulgué;;;20/06/1996;96-549;
projet de loi relatif au contrôle du commerce des produits chimiques précurseurs de stupéfiants ou de substances psychotropes;projet de loi;19/04/1995;http://www.senat.fr/dossier-legislatif/a94952014.html;promulgué;;;19/06/1996;96-542;
projet de loi autorisant la ratification de la convention portant création du programme régional océanien de l'environnement;projet de loi;06/03/1996;http://www.senat.fr/dossier-legislatif/s95960256.html;promulgué;;;19/06/1996;96-543;Environnement, Traités et conventions
proposition de loi tendant à créer un Office parlementaire d'évaluation de la législation;proposition de loi;23/06/1995;http://www.senat.fr/dossier-legislatif/a94952104.html;promulgué;;;14/06/1996;96-516;
proposition de loi tendant à élargir les pouvoirs d'information du Parlement et à créer l'Office parlementaire d'évaluation des politiques publiques;proposition de loi;23/06/1995;http://www.senat.fr/dossier-legislatif/a94952108.html;promulgué;;;14/06/1996;96-517;
projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement de la République islamique du Pakistan en vue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôt;projet de loi;11/01/1995;http://www.senat.fr/dossier-legislatif/a94951895.html;promulgué;;;11/06/1996;96-504;Économie et finances, fiscalité, Traités et conventions
projet de loi autorisant l'approbation de l'avenant (ensemble un échange de lettres) à l'accord du 25 juillet 1977 entre le Gouvernement de la République française et le Gouvernement de la République de Malte tendant à éviter les doubles impositions et à prévenir l'év;projet de loi;11/01/1995;http://www.senat.fr/dossier-legislatif/a94951896.html;promulgué;;;11/06/1996;96-505;Économie et finances, fiscalité, Traités et conventions
projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement de la République bolivienne en vue d'éviter les doubles impositions en matière d'impôts sur le revenu et sur la fortune (ensemble un protocole);projet de loi;11/10/1995;http://www.senat.fr/dossier-legislatif/a95962265.html;promulgué;;;11/06/1996;96-507;Économie et finances, fiscalité, Traités et conventions
projet de loi autorisant l'approbation de l'avenant à la convention du 19 décembre 1980 entre le Gouvernement de la République française et le Gouvernement de la République de Norvège en vue d'éviter les doubles impositions, de prévenir l'évasion fiscale et d'établir;projet de loi;31/10/1995;http://www.senat.fr/dossier-legislatif/a95962317.html;promulgué;;;11/06/1996;96-506;Économie et finances, fiscalité, Traités et conventions
proposition de loi tendant à favoriser l'expérimentation relative à l'aménagement et à la réduction du temps de travail;proposition de loi;06/11/1995;http://www.senat.fr/dossier-legislatif/a95962325.html;promulgué;;;11/06/1996;96-502;
projet de loi autorisant l'approbation de la convention entre le gouvernement de la République française et le gouvernement de l'Etat d'Israel envue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôts sur le revenu et su;projet de loi;31/01/1996;http://www.senat.fr/dossier-legislatif/a95962514.html;promulgué;;;11/06/1996;96-503;Économie et finances, fiscalité, Traités et conventions
projet de loi portant diverses mesures d'ordre sanitaire et statutaire;projet de loi;04/01/1996;http://www.senat.fr/dossier-legislatif/s95960158.html;promulgué;;;28/05/1996;96-452;
projet de loi portant adaptation de la législation française aux dispositions de la résolution 955 du Conseil de sécurité des Nations unies instituant un tribunal international en vue de juger les personnes présumées responsables d'actes de génocide ou d'autres violat;projet de loi;14/12/1995;http://www.senat.fr/dossier-legislatif/s95960138.html;promulgué;;;22/05/1996;96-432;
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement du Royaume de Norvège portant sur le transport par gazoduc de gaz du plateau continental norvégien et d'autres secteurs vers la France;projet de loi;31/10/1995;http://www.senat.fr/dossier-legislatif/a95962318.html;promulgué;;;17/05/1996;96-427;Énergie, Traités et conventions, Transports
projet de loi autorisant l'approbation de la convention d'établissement entre la France et le gouvernement de la République du Congo, signée à Brazzaville le 31 juillet 1993 (ensemble un échange de lettres signé les 13 juillet 1994 et 17 mars 1995);projet de loi;31/01/1996;http://www.senat.fr/dossier-legislatif/a95962512.html;promulgué;;;17/05/1996;96-425;Affaires étrangères et coopération, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le gouvernement de la République orientale de l'Uruguay sur l'encouragement et la protection réciproques des investissements (ensemble un protocole);projet de loi;07/02/1996;http://www.senat.fr/dossier-legislatif/a95962549.html;promulgué;;;17/05/1996;96-426;Entreprises, Traités et conventions
projet de loi portant adaptation de la législation française aux dispositions de la convention du Conseil de l'Europe relative au blanchiment, au dépistage, à la saisie et à la confiscation des produits du crime et améliorant la lutte contre le trafic de stupéfiants;projet de loi;24/08/1994;http://www.senat.fr/dossier-legislatif/s93940611.html;promulgué;;;13/05/1996;96-392;
proposition de loi relative à la responsabilité pénale des élus locaux pour des faits d'imprudence ou de négligence commis dans l'exercice des fonctions;proposition de loi;18/04/1995;http://www.senat.fr/dossier-legislatif/s94950406.html;promulgué;;;13/05/1996;96-393;
projet de loi portant réforme du financement de l'apprentissage;projet de loi;03/01/1996;http://www.senat.fr/dossier-legislatif/pjl95-206.html;promulgué;;;06/05/1996;96-376;Éducation, Entreprises, Travail
projet de loi relatif aux services d'incendie et de secours;projet de loi;04/01/1995;http://www.senat.fr/dossier-legislatif/a94951888.html;promulgué;;;03/05/1996;96-369;
projet de loi relatif au développement du volontariat dans les corps de sapeurs-pompiers;projet de loi;02/03/1995;http://www.senat.fr/dossier-legislatif/a94951952.html;promulgué;;;03/05/1996;96-370;
projet de loi relatif au trafic de stupéfiants en haute mer et portant adaptation de la législation française aux dispositions de l'article 17 de la convention des Nations Unies contre le trafic illicite des stupéfiants et substances psychotropes faite à Vienne le 20;projet de loi;12/10/1994;http://www.senat.fr/dossier-legislatif/s94950029.html;promulgué;;;29/04/1996;96-359;
projet de loi portant diverses dispositions d'ordre économique et financier;projet de loi;07/02/1996;http://www.senat.fr/dossier-legislatif/a95962548.html;promulgué;conforme;09/04/1996;12/04/1996;96-314;
projet de loi organique organique portant statut d'autonomie de la Polynésie française;projet de loi organique;20/12/1995;http://www.senat.fr/dossier-legislatif/pjl95-198.html;promulgué;partiellement conforme;09/04/1996;12/04/1996;96-312;Collectivités territoriales, Outre-mer, Pouvoirs publics et Constitution
projet de loi complétant le statut de la Polynésie française;projet de loi;20/12/1995;http://www.senat.fr/dossier-legislatif/pjl95-199.html;promulgué;conforme;09/04/1996;12/04/1996;96-313;Collectivités territoriales, Outre-mer, Pouvoirs publics et Constitution
proposition de loi tendant à préciser la portée de l'interdiction faite à un candidat d'etre membre de sa propre association de financement électorale;proposition de loi;09/02/1996;http://www.senat.fr/dossier-legislatif/a95962564.html;promulgué;;;10/04/1996;96-300;
projet de loi relatif aux expérimentations dans le domaine des technologies et services de l'information;projet de loi;15/11/1995;http://www.senat.fr/dossier-legislatif/pjl95-193.html;promulgué;;;10/04/1996;96-299;Recherche, sciences et techniques
proposition de loi tendant à faire du 20 novembre une journée nationale des droits de l'enfant;proposition de loi;20/07/1995;http://www.senat.fr/dossier-legislatif/s94950387.html;promulgué;;;09/04/1996;96-296;
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le gouvernement du Sultanat d'Oman sur l'encouragement et la protection réciproques des investissements;projet de loi;23/11/1995;http://www.senat.fr/dossier-legislatif/s95960088.html;promulgué;;;03/04/1996;96-275;Entreprises, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le gouvernement de Roumanie sur l'encouragement et la protection réciproques des investissements (ensemble un protocole);projet de loi;23/11/1995;http://www.senat.fr/dossier-legislatif/s95960089.html;promulgué;;;03/04/1996;96-279;Entreprises, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement de la République d'Albanie sur l'encouragement et la protection réciproques des investissements;projet de loi;06/12/1995;http://www.senat.fr/dossier-legislatif/s95960117.html;promulgué;;;03/04/1996;96-277;Entreprises, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le gouvernement de la République des Philippines sur l'encouragement et la protection réciproques des investissements (ensemble un protocole);projet de loi;14/12/1995;http://www.senat.fr/dossier-legislatif/s95960136.html;promulgué;;;03/04/1996;96-276;Entreprises, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le gouvernement de la République de l'Equateur sur l'encouragement et la protection réciproques des investissements;projet de loi;14/12/1995;http://www.senat.fr/dossier-legislatif/s95960137.html;promulgué;;;03/04/1996;96-278;Entreprises, Traités et conventions
projet de loi autorisant la ratification de la convention entre le Gouvernement de la République française et le Gouvernement de la République du Cameroun relative à la circulation et au séjour des personnes;projet de loi;29/11/1994;http://www.senat.fr/dossier-legislatif/a94951727.html;promulgué;;;26/03/1996;96-248;Police et sécurité, Traités et conventions
projet de loi autorisant l'approbation de l'accord international de 1993 sur le cacao (ensemble trois annexes);projet de loi;04/01/1995;http://www.senat.fr/dossier-legislatif/a94951890.html;promulgué;;;26/03/1996;96-244;Agriculture et pêche, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le gouvernement de la République bolivienne sur l'encouragement et la protection réciproques des investissements (ensemble un échange de lettres modificatives);projet de loi;11/10/1995;http://www.senat.fr/dossier-legislatif/a95962266.html;promulgué;;;26/03/1996;96-249;Entreprises, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le gouvernement de la République du Pérou sur l'encouragement et la protection réciproques des investissements;projet de loi;18/10/1995;http://www.senat.fr/dossier-legislatif/a95962292.html;promulgué;;;26/03/1996;96-242;Entreprises, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le gouvernement de la République fédérative du Brésil sur l'encouragement et la protection réciproques des investissements (ensemble un échange de letres);projet de loi;18/10/1995;http://www.senat.fr/dossier-legislatif/a95962293.html;promulgué;;;26/03/1996;96-243;Entreprises, Traités et conventions
projet de loi relatif aux mécanismes de solidarité financière entre collectivités locales;projet de loi;18/01/1996;http://www.senat.fr/dossier-legislatif/s95960171.html;promulgué;;;26/03/1996;96-241;
proposition de loi tendant à étendre aux collectivités locales et à leurs groupements l'accès aux prets distribués à partir des fonds établis par les CODEVI;proposition de loi;07/03/1995;http://www.senat.fr/dossier-legislatif/a94951956.html;promulgué;;;14/03/1996;96-209;
projet de loi relatif au supplément de loyer de solidarité;projet de loi;31/10/1995;http://www.senat.fr/dossier-legislatif/pjl95-207.html;promulgué;;;04/03/1996;96-162;Logement et urbanisme, Société
projet de loi relatif aux transports;projet de loi;19/07/1995;http://www.senat.fr/dossier-legislatif/s94950383.html;promulgué;;;26/02/1996;96-151;
projet de loi  constitutionnelle instituant la loi d'équilibre de la sécurité sociale;projet de loi  constitutionnelle;12/07/1995;http://www.senat.fr/dossier-legislatif/a95962455.html;promulgué;;;22/02/1996;96-138;
projet de loi portant création d'un fonds paritaire d'intervention en faveur de l'emploi;projet de loi;08/11/1995;http://www.senat.fr/dossier-legislatif/a95962346.html;promulgué;;;21/02/1996;96-126;
projet de loi autorisant l'approbation de la convention relative au blanchiment, au dépistage, à la saisie et à la confiscation des produits du crime, faite à Strasbourg le 8 novembre 1990;projet de loi;24/08/1994;http://www.senat.fr/dossier-legislatif/s93940610.html;promulgué;;;21/02/1996;96-130;Justice, Traités et conventions
projet de loi relatif à la partie législative du code général des collectivités territoriales;projet de loi;03/05/1994;http://www.senat.fr/dossier-legislatif/s94950226.html;promulgué;;;21/02/1996;96-142;
projet de loi autorisant l'approbation de l'accord international de 1994 sur le café;projet de loi;14/06/1995;http://www.senat.fr/dossier-legislatif/s94950307.html;promulgué;;;21/02/1996;96-131;Agriculture et pêche, Traités et conventions
projet de loi autorisant la ratification du protocole n° 11 à la convention de sauvegarde des droits de l'Homme et des libertés fondamentales, portant restructuration du mécanisme de contrôle établi par la convention (ensemble une annexe);projet de loi;12/07/1995;http://www.senat.fr/dossier-legislatif/s94950373.html;promulgué;;;21/02/1996;96-127;Justice, Traités et conventions
projet de loi autorisant la ratification du traité d'entente et de coopération entre la République française et l'Ukraine;projet de loi;19/07/1995;http://www.senat.fr/dossier-legislatif/s94950384.html;promulgué;;;21/02/1996;96-128;Affaires étrangères et coopération, Traités et conventions
projet de loi autorisant l'approbation de l'accord entre le gouvernement de la République française et le Gouvernement de la République d'Ouzbékistan sur l'encouragement et la protection réciproques des investissements;projet de loi;06/12/1995;http://www.senat.fr/dossier-legislatif/s95960116.html;promulgué;;;21/02/1996;96-129;Entreprises, Traités et conventions
projet de loi autorisant l'approbation de l'accord de coopération et d'union douanière entre la communauté économique européenne et la République de Saint-Marin;projet de loi;18/01/1996;http://www.senat.fr/dossier-legislatif/s95960174.html;promulgué;;;21/02/1996;96-132;Police et sécurité, Traités et conventions
projet de loi complétant la loi n° 66-1008 du 28 décembre 1966 relative aux relations financières avec l'étranger en ce qui concerne les investissements étrangers en France;projet de loi;08/11/1995;http://www.senat.fr/dossier-legislatif/a95962347.html;promulgué;;;14/02/1996;96-109;
proposition de loi relative à la prorogation de la suspension des poursuites en faveur des rapatriés réinstallés;proposition de loi;12/01/1996;http://www.senat.fr/dossier-legislatif/s95960161.html;promulgué;;;14/02/1996;96-110;
proposition de loi organique organique relative à la date de renouvellement des membres de l'Assemblée territoriale de la Polynésie française;proposition de loi organique;12/12/1995;http://www.senat.fr/dossier-legislatif/a95962437.html;promulgué;conforme;06/02/1996;06/02/1996;96-89;
projet de loi d'habilitation relatif au statut général des fonctionnaires de la collectivité territoriale, des communes et des établissements publics de Mayotte;projet de loi;18/10/1995;http://www.senat.fr/dossier-legislatif/a95962294.html;promulgué;;;05/02/1996;96-87;
projet de loi autorisant l'approbation d'un accord entre la République française et la République d'Ouzbékistan sur la liberté de circulation;projet de loi;29/11/1994;http://www.senat.fr/dossier-legislatif/a94951728.html;promulgué;;;29/01/1996;96-65;Police et sécurité, Traités et conventions
projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la République française et le Gouvernement de la République de Trinité et Tobago sur l'encouragement et la protection réciproques des investissements;projet de loi;18/01/1995;http://www.senat.fr/dossier-legislatif/a94951910.html;promulgué;;;29/01/1996;96-66;Entreprises, Traités et conventions
projet de loi autorisant la ratification du traité d'amitié et de coopération entre la République française et la République d'Ouzbékistan;projet de loi;19/04/1995;http://www.senat.fr/dossier-legislatif/a94952016.html;promulgué;;;29/01/1996;96-64;Affaires étrangères et coopération, Traités et conventions
projet de loi pris pour l'application des dispositions de la loi constitutionnelle n° 95-880 du 4 août 1995 qui instituent une session parlementaire ordinaire unique;projet de loi;27/09/1995;http://www.senat.fr/dossier-legislatif/a94952239.html;promulgué;;;29/01/1996;96-62;
projet de loi en faveur du développement des emplois de services aux particuliers;projet de loi;22/11/1995;http://www.senat.fr/dossier-legislatif/s95960087.html;promulgué;;;29/01/1996;96-63;
projet de loi modifiant la loi n° 88-227 du 11 mars 1988 modifiée, relatif à la commission pour la transparence financière de la vie politique;projet de loi;20/09/1995;http://www.senat.fr/dossier-legislatif/a94952234.html;promulgué;;;04/01/1996;96-5;
projet de loi d'habilitation relatif à l'extension et à l'adaptation de la législation en matière pénale applicable aux territoires d'outre-mer et à la collectivité territoriale de Mayotte;projet de loi;20/09/1995;http://www.senat.fr/dossier-legislatif/a94952235.html;promulgué;;;02/01/1996;96-1;
projet de loi modifiant la loi n° 71-1130 du 31 décembre 1971 portant réforme de certaines professions judiciaires et juridiques;projet de loi;26/07/1995;http://www.senat.fr/dossier-legislatif/a94952179.html;promulgué;;;30/12/1995;95-1349;
proposition de loi tendant à faciliter la transformation des districts urbains en communautés urbaines;proposition de loi;25/10/1995;http://www.senat.fr/dossier-legislatif/a95962326.html;promulgué;;;30/12/1995;95-1350;
projet de loi de finances rectificative de finances rectificative pour 1995;projet de loi de finances rectificative;15/11/1995;http://www.senat.fr/dossier-legislatif/a95962357.html;promulgué;;;30/12/1995;95-1347;
projet de loi autorisant le Gouvernement, par application de l'article 38 de la Constitution, à réformer la protection sociale;projet de loi;29/11/1995;http://www.senat.fr/dossier-legislatif/a95962405.html;promulgué;conforme;30/12/1995;30/12/1995;95-1348;
projet de loi de finances pour 1996;projet de loi de finances;20/09/1995;http://www.senat.fr/dossier-legislatif/pjlf1996.html;promulgué;partiellement conforme;28/12/1995;30/12/1995;95-1346;Budget, Économie et finances, fiscalité
projet de loi autorisant l'approbation d'une convention d'établissement entre le Gouvernement de la République française et le Gouvernement de la République du Mali;projet de loi;12/07/1995;http://www.senat.fr/dossier-legislatif/s94950371.html;promulgué;;;30/12/1995;95-1402;
projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement de la République du Mali sur la circulation et le séjour des personnes (ensemble deux échanges de lettres);projet de loi;12/07/1995;http://www.senat.fr/dossier-legislatif/s94950372.html;promulgué;;;30/12/1995;95-1403;
projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement du Japon en vue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôts sur le revenu (ensemble un p;projet de loi;30/08/1995;http://www.senat.fr/dossier-legislatif/s94950407.html;promulgué;;;30/12/1995;95-1404;
projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement des Etats-Unis d'Amérique en vue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôts et sur la f;projet de loi;30/08/1995;http://www.senat.fr/dossier-legislatif/s94950408.html;promulgué;;;22/12/1995;95-1318;
projet de loi autorisant l'approbation d'une convention d'établissement entre le Gouvernement de la République française et le Gouvernement de la République centrafricaine;projet de loi;14/06/1995;http://www.senat.fr/dossier-legislatif/s94950308.html;promulgué;;;21/12/1995;95-1308;
projet de loi autorisant l'approbation d'une convention entre le Gouvernement de la République française et le Gouvernement de la République centrafricaine relative à la circulation et au séjour des personnes;projet de loi;14/06/1995;http://www.senat.fr/dossier-legislatif/s94950309.html;promulgué;;;21/12/1995;95-1309;
projet de loi autorisant la ratification de la convention des Nations unies sur le droit de la mer (ensemble 9 annexes) et de l'accord relatif à l'application de la partie XI de la convention des Nations unies sur le droit de la mer du 10/12/1982 (ensemble une annexe);projet de loi;22/06/1995;http://www.senat.fr/dossier-legislatif/s94950325.html;promulgué;;;21/12/1995;95-1311;
projet de loi autorisant la ratification du protocole additionnel à l'accord général de coopération entre les Etats de la Commission de l'Océan Indien;projet de loi;22/06/1995;http://www.senat.fr/dossier-legislatif/s94950326.html;promulgué;;;21/12/1995;95-1310;
projet de loi organique organique pris pour l'application des dispositions de la loi constitutionnelle n° 95-880 du 4 août 1995 qui instituent une session parlementaire ordinaire unique;projet de loi organique;27/09/1995;http://www.senat.fr/dossier-legislatif/a94952238.html;promulgué;conforme;29/11/1995;16/12/1995;95-1292;
projet de loi autorisant la ratification de la convention sur la protection des Alpes;projet de loi;07/12/1994;http://www.senat.fr/dossier-legislatif/s94950128.html;promulgué;;;06/12/1995;95-1270;
projet de loi relatif à l'action de l'Etat dans les plans de redressement du Crédit Lyonnais et du Comptoir des Entrepreneurs.;projet de loi;06/09/1995;http://www.senat.fr/dossier-legislatif/a94952212.html;promulgué;;;28/11/1995;95-1251;
projet de loi autorisant l'approbation de l'amendement au protocole de Montréal du 16 septembre 1987, relatif à des substances qui appauvrissent la couche d'ozone, adopté le 25 novembre 1992 à Copenhague;projet de loi;14/12/1994;http://www.senat.fr/dossier-legislatif/a94951796.html;promulgué;;;16/11/1995;95-1225;
projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la République française et le Gouvernement de l'Ukraine sur l'encouragement et la protection réciproques des investissements;projet de loi;18/01/1995;http://www.senat.fr/dossier-legislatif/a94951909.html;promulgué;;;16/11/1995;95-1228;
projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la République française et le Gouvernement du Turkménistan sur l'encouragement et la protection réciproques des investissements;projet de loi;25/01/1995;http://www.senat.fr/dossier-legislatif/a94951914.html;promulgué;;;16/11/1995;95-1226;
projet de loi autorisant l'approbation d'un accord entre le Gouvernement de la République française et le Gouvernement du Kirghizistan sur l'encouragement et la protection réciproques des investissements;projet de loi;25/01/1995;http://www.senat.fr/dossier-legislatif/a94951915.html;promulgué;;;16/11/1995;95-1227;
projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement de la République du Zimbabwe en vue d'éviter les doubles impositions en matière d'impôts sur le revenu sur les gains en capital et sur la fortun;projet de loi;01/02/1995;http://www.senat.fr/dossier-legislatif/a94951935.html;promulgué;;;16/11/1995;95-1224;
projet de loi autorisant la ratification du traité d'entente, d'amitié et de coopération entre la République française et le Turkménistan;projet de loi;19/04/1995;http://www.senat.fr/dossier-legislatif/a94952015.html;promulgué;;;16/11/1995;95-1222;
projet de loi autorisant la ratification du traité d'entente, d'amitié et de coopération entre la République française et la République du Kirghizstan;projet de loi;24/05/1995;http://www.senat.fr/dossier-legislatif/a94952067.html;promulgué;;;16/11/1995;95-1223;
projet de loi autorisant l'approbation de l'avenant à la convention fiscale du 21 octobre 1976 entre le Gouvernement de la République française et le Gouvernement de la République du Cameroun;projet de loi;14/11/1994;http://www.senat.fr/dossier-legislatif/a94951655.html;promulgué;;;31/10/1995;95-1142;Traités et conventions
projet de loi autorisant l'approbation de la convention entre le Gouvernement de la République française et le Gouvernement du Royaume de Suède en vue d'éviter les doubles impositions et de prévenir l'évasion et la fraude fiscales en matière d'impôts sur les successio;projet de loi;14/11/1994;http://www.senat.fr/dossier-legislatif/a94951656.html;promulgué;;;31/10/1995;95-1141;
projet de loi de finances rectificative de finances rectificative pour 1995;projet de loi de finances rectificative;28/06/1995;http://www.senat.fr/dossier-legislatif/a94952115.html;promulgué;;;04/08/1995;95-885;
projet de loi  constitutionnelle portant extension du champ d'application du référendum, instituant une session parlementaire ordinaire unique, modifiant le régime de l'inviolabilité parlementaire et abrogeant les dispositions relatives à la Communauté et les dispositions transitoires.;projet de loi  constitutionnelle;29/06/1995;http://www.senat.fr/dossier-legislatif/a94952120.html;promulgué;;;04/08/1995;95-880;
projet de loi instituant le contrat initiative-emploi;projet de loi;05/07/1995;http://www.senat.fr/dossier-legislatif/s94950358.html;promulgué;;;04/08/1995;95-881;
projet de loi relatif à des mesures d'urgence pour l'emploi et la sécurité sociale;projet de loi;12/07/1995;http://www.senat.fr/dossier-legislatif/s94950368.html;promulgué;;;04/08/1995;95-882;
projet de loi portant amnistie;projet de loi;13/06/1995;http://www.senat.fr/dossier-legislatif/a94952083.html;promulgué;;;03/08/1995;95-884;
projet de loi autorisant l'approbation d'une convention sur la sûreté nucléaire;projet de loi;07/06/1995;http://www.senat.fr/dossier-legislatif/s94950304.html;promulgué;;;03/08/1995;95-865;
proposition de loi tendant à relever de 18,60% à 20,60% le taux normal de la taxe sur la valeur ajoutée à compter du 1er août 1995;proposition de loi;07/07/1995;http://www.senat.fr/dossier-legislatif/a94952148.html;promulgué;conforme;27/07/1995;28/07/1995;95-858;
projet de loi de règlement portant règlement définif du budget de 1993;projet de loi de règlement;21/12/1994;http://www.senat.fr/dossier-legislatif/a94951842.html;promulgué;;;27/07/1995;95-857;
projet de loi autorisant l'approbation de l'accord entre le Gouvernement de la République française et le Gouvernement du Royaume des Pays-Bas concernant le contrôle de personnes sur les aéroports de Saint-Martin;projet de loi;04/01/1995;http://www.senat.fr/dossier-legislatif/a94951889.html;promulgué;;;27/07/1995;95-854;
projet de loi relatif à la partie législative du livre III du code des juridictions financières;projet de loi;20/07/1994;http://www.senat.fr/dossier-legislatif/s93940605.html;promulgué;;;24/07/1995;95-851;
"projet de loi de programmation du ""nouveau contrat pour l'école""";projet de loi;07/12/1994;http://www.senat.fr/dossier-legislatif/a94951773.html;promulgué;;;13/07/1995;95-836;
projet de loi portant transposition de la directive n° 93/7 du 15 mars 1993 du Conseil des Communautés européennes relatives à la restitution des biens culturels ayant quitté illicitement le territoire d'un Etat membre;projet de loi;23/03/1995;http://www.senat.fr/dossier-legislatif/s94950237.html;promulgué;;;03/07/1995;95-877;
projet de loi organique modifiant la loi n° 88-1028 du 9 novembre 1988 portant dispositions statutaires et préparatoires à l'autodétermination de la Nouvelle-Calédonie en 1998 et portant dispositions diverses relatives aux territoires d'outre-mer;projet de loi organique;16/11/1994;http://www.senat.fr/dossier-legislatif/a94951683.html;promulgué;conforme;08/02/1995;20/02/1995;95-173;
projet de loi relatif à l'organisation des juridictions et à la procédure civile, pénale et administrative;projet de loi;01/06/1994;http://www.senat.fr/dossier-legislatif/a93941335.html;promulgué;partiellement conforme;02/02/1995;08/02/1995;95-125;
proposition de loi relative aux marchés publics et délégations de service public;proposition de loi;22/11/1994;http://www.senat.fr/dossier-legislatif/a94951693.html;promulgué;conforme;02/02/1995;08/02/1995;95-127;
proposition de loi relative à la déclaration du patrimoine des membres du Gouvernement, des titulaires de certaines fonctions électives, des fonctionnaires et agents publics exerçant des fonctions d'autorité;proposition de loi;22/11/1994;http://www.senat.fr/dossier-legislatif/a94951707.html;promulgué;conforme;02/02/1995;08/02/1995;95-126;
projet de loi d'orientation pour l'aménagement et le développement du territoire;projet de loi;15/06/1994;http://www.senat.fr/dossier-legislatif/a93941382.html;promulgué;partiellement conforme;26/01/1995;04/02/1995;95-115;Aménagement du territoire
projet de loi portant diverses dispositions d'ordre social;projet de loi;26/10/1994;http://www.senat.fr/dossier-legislatif/s94950045.html;promulgué;conforme;25/01/1995;04/02/1995;95-116;
projet de loi relatif au renforcement de la protection de l'environnement;projet de loi;25/05/1994;http://www.senat.fr/dossier-legislatif/s93940462.html;promulgué;;;02/02/1995;95-101;
projet de loi de modernisation de l'agriculture;projet de loi;26/10/1994;http://www.senat.fr/dossier-legislatif/a94951610.html;promulgué;;;01/02/1995;95-95;
projet de loi étendant dans les territoires d'outre-mer certaines dispositions du code de la route et portant dispositions diverses relatives aux territoires d'outre-mer et à la collectivité territoriale de Mayotte;projet de loi;16/11/1994;http://www.senat.fr/dossier-legislatif/a94951682.html;promulgué;;;01/02/1995;95-97;
projet de loi concernant les clauses abusives, la présentation des contrats, le démarchage, les activités ambulantes, la concurrence dans le transport routier, le marquage communautaire des produits et les marchés de travaux privés;projet de loi;12/10/1994;http://www.senat.fr/dossier-legislatif/s94950028.html;promulgué;;;01/02/1995;95-96;
projet de loi autorisant la ratification du premier protocole du 19 décembre 1988 concernant l'interprétation par la Cour de Justice des Communautés européennes de la convention de Rome du 19 juin 1980 sur la loi applicable aux obligations contractuelles et celle du d;projet de loi;19/10/1994;http://www.senat.fr/dossier-legislatif/s94950037.html;promulgué;;;30/01/1995;95-89;
projet de loi autorisant la ratification de la convention relative à l'adhésion du Royaume d'Espagne et de la République portugaise à la convention sur la loi applicable aux obligations contractuelles ouverte à la signature à Rome le 19 juin 1980, signée à Funchal le;projet de loi;14/11/1994;http://www.senat.fr/dossier-legislatif/s94950071.html;promulgué;;;30/01/1995;95-90;
