Session;Numéro de texte;Date de dépôt;Auteurs;Titre;Type de dossier;URL du dossier;État du dossier;Décision du CC;Date de la décision;Date de promulgation;Numéro de la loi;Thèmes
1977;185;"16/12/1977";"René TINANT, Jean CAUCHON, Jean SAUVAGE";"proposition de loi relative à certains personnels de la navigation aérienne";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-185.html";"caduc";"";"";"";"";"Transports"
1977;212;"20/12/1977";"Jacques EBERHARD, Gérard EHLERS, Fernand CHATELAIN, Léon DAVID, Léandre LETOQUART";"proposition de loi tendant à supprimer la date limite du 1er juillet 1973 jusqu'à laquelle est admise une demande de révision du taux d'incapacité de travail pour les personnes dépendant du régime de protection sociale agricole";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-212.html";"caduc";"";"";"";"";"Agriculture et pêche, Questions sociales et santé"
1977;213;"20/12/1977";"Hector VIRON, Pierre GAMBOA, Marcel GARGAR, Rolande PERLICAN";"proposition de loi tendant à promouvoir des mesures urgentes en faveur des chômeurs et de leur famille";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-213.html";"caduc";"";"";"";"";"Questions sociales et santé, Travail"
1977;214;"20/12/1977";"Camille VALLIN, Fernand CHATELAIN, Léon DAVID, Jacques EBERHARD, Gérard EHLERS, Léandre LETOQUART";"proposition de loi tendant à ouvrir la possibilité de la retraite à cinquante-cinq ans à toutes les catégories des PTT";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-214.html";"caduc";"";"";"";"";"Fonction publique, Questions sociales et santé"
1977;215;"20/12/1977";"Fernand LEFORT, Fernand CHATELAIN, Léon DAVID, Jacques EBERHARD, Gérard EHLERS, Léandre LETOQUART";"proposition de loi tendant à la défense des sociétés coopératives de production HLM et à l'extension de leurs prérogatives à oeuvrer dans le secteur locatif";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-215.html";"caduc";"";"";"";"";"Économie et finances, fiscalité"
1977;216;"20/12/1977";"Hector VIRON, Pierre GAMBOA, Marcel GARGAR, Rolande PERLICAN";"proposition de loi tendant à garantir les droits et les libertés des travailleurs immigrés et des étrangers en France";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-216.html";"caduc";"";"";"";"";"Affaires étrangères et coopération, Police et sécurité"
1977;217;"20/12/1977";"Gérard EHLERS, Fernand CHATELAIN, Léon DAVID, Jacques EBERHARD, Léandre LETOQUART";"proposition de loi portant extension dans les PTT des dispositions en vigueur en matière de comités d'hygiène et de sécurité, de médecine du travail, d'amélioration des conditions de travail et de prévention des accidents du travail";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-217.html";"caduc";"";"";"";"";"Fonction publique, Questions sociales et santé"
1977;218;"20/12/1977";"Rolande PERLICAN, Hector VIRON, Marcel GARGAR, Pierre GAMBOA";"proposition de loi tendant à assurer le développement de l'aide médicale urgente";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-218.html";"caduc";"";"";"";"";"Questions sociales et santé"
1977;219;"20/12/1977";"Fernand CHATELAIN, Jacques EBERHARD, Gérard EHLERS, Léon DAVID, Léandre LETOQUART";"proposition de loi relative à l'organisation de l'action sociale au ministère des Postes et Télécommunications";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-219.html";"caduc";"";"";"";"";"Questions sociales et santé, Société, Travail"
1977;243;"14/01/1978";"Marie-Thérèse GOUTMANN, James MARSON, Serge BOUCHENY, Fernand CHATELAIN";"proposition de loi tendant à la mise en oeuvre de mesures urgentes pour réduire les nuisances causées par les avions à réaction aux riverains des grands aéroports";"proposition de loi";"http://www.senat.fr/dossier-legislatif/ppl77-243.html";"caduc";"";"";"";"";"Transports"
